Afghanistan,Kabul
Egypt,Kairo
Albania,Tirana
Algeria,Algier
American Samoa,Pago-Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antarctica,Juneau
Antigua And Barbuda,Saint John's
Equatorial Guinea,Malabo
Argentina,Buenos Aires
Armenia,Eriwan
Aruba,Oranjestad
Azerbaijan,Baku
Ethiopia,Addis Abeba
Australia,Canberra
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belize,Belmopan
Benin,Porto Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,Sucre
Bosnia And Herzegovina,Sarajevo
Botswana,Gaborone
Bouvet Island,(Forschungsinsel)
Brunei Darussalam,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Chile,Santiago
China,Peking (Beijing)
Cook Islands,Avarua
Denmark,Kopenhagen
Germany,Berlin
Saint Helena,Jamestown
Diego Garcia,Diego Garcia (Main Island)
Dominica,Roseau
Dominican Republic,Santo Domingo
Djibouti,Dschibuti
Ecuador,Quito
El Salvador,San Salvador
Eritrea,Asmara (Asmera)
Estonia,Tallinn (Reval)
European Union,Brussels
Falkland Islands (malvinas),Port Stanley
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
French Polynesia,Papeete
Gabon,Libreville
Gambia,Banjul
Georgia,Tiflis
Ghana,Accra
Gibraltar,Gibraltar (Stadt)
Grenada,St. George's
Greece,Athen
Greenland,Nuuk
Guadeloupe,Basse-Terre
Guatemala,Guatemala-Stadt
Guernsey,St. Peter Port
Guinea,Conakry
Guinea-bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
India,Neu-Delhi
Indonesia,Jakarta
Isle Of Man,Douglas
Iraq,Bagdad
Iran,Tehran
Ireland,Dublin
Israel,Jerusalem
Italy,Rom
Jamaica,Kingston
Japan,Tokio
Yemen,Sanaa
Jersey,Saint Helier
Jordan,Amman
Cayman Islands,George Town
Cambodia,Phnom Penh
Canada,Ottawa
Canary Islands,Santa Cruz
Cape Verde,Praia
Kazakhstan,Astana
Qatar,Doha
Kenya,Nairobi
Kyrgyzstan,Bischkek
Kiribati,Bairiki
Cocos (keeling) Islands,West Island
Comoros,Moroni
Congo,Brazzaville
Croatia,Zagreb
Cuba,Havanna
Kuwait,Kuwait
Lao People's Democratic Republic,Vientiane
Lesotho,Maseru
Latvia,R?ga
Lebanon,Beirut
Liberia,Monrovia
Libyan Arab Jamahiriya,Tripolis
Liechtenstein,Vaduz
Lithuania,Wilna
Luxembourg,Luxemburg
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Malta,Valletta
Morocco,Rabat
Marshall Islands,Delap-Uliga-Darrit
Martinique,Fort-de-France
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Mexico,Mexiko-Stadt
Moldova,Chi?in?u
Monaco,Monaco
Mongolia,Ulaanbaatar
Montserrat,Plymouth
Mozambique,Maputo
Myanmar,Rangun
Namibia,Windhoek
Nauru,Yaren
Nepal,Kathmandu
New Zealand,Wellington
Nicaragua,Managua
Netherlands,Amsterdam
Netherlands Antilles,Willemstad
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Northern Mariana Islands,Saipan
Norfolk Island,Kingston
Norway,Oslo
Oman,Maskat
Austria,Wien
Pakistan,Islamabad
Palau,Melekeok
Panama,Panama-Stadt
Papua New Guinea,Port Moresby
Peru,Lima
Philippines,Manila
Pitcairn,Adamstown
Poland,Warschau
Portugal,Lissabon
Puerto Rico,San Juan
Rwanda,Kigali
Romania,Bukarest
Russian Federation,Moskau
Solomon Islands,Honiara
Zambia,Lusaka
Samoa,Apia
San Marino,San Marino
Saudi Arabia,Riad
Sweden,Stockholm
Switzerland,Bern
Senegal,Dakar
Serbien und Montenegro,Belgrad
Seychelles,Victoria
Sierra Leone,Freetown
Zimbabwe,Harare
Singapore,Singapur
Slovakia,Bratislava
Slovenia,Ljubljana
Somalia,Mogadischu
Spain,Madrid
Sri Lanka,Colombo
Saint Kitts And Nevis,Basseterre
Saint Lucia,Castries
Saint Pierre And Miquelon,Saint-Pierre
Saint Vincent And The Grenadines,Kingstown
South Africa,Pretoria
Sudan,Khartum
South Georgia And The South Sandwich Islands,Grytviken
Suriname,Paramaribo
Svalbard And Jan Mayen,Longyearbyen
Swaziland,Mbabane
Syrian Arab Republic,Damaskus
Tajikistan,Duschanbe
Taiwan,Taipeh
Tanzania,Dodomo
Thailand,Bangkok
Timor-leste,Dili
Trinidad And Tobago,Port-of-Spain
Tristan da Cunha,Jamestown
Chad,N'Djamena
Czech Republic,Prag
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,A?gabat
Turks And Caicos Islands,Cockburn Town auf Grand Turk
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kiew
Soviet Union,Moskau
Uruguay,Montevideo
Uzbekistan,Taschkent
Vanuatu,Port Vila
Vatican,Vatikanstadt
Venezuela,Caracas
United Arab Emirates,Abu Dhabi
United States,Washington DC
United Kingdom,London
Wallis And Futuna,Mata-Utu
Christmas Island,Flying Fish Cove
Belarus,Minsk
Central African Republic,Bangui
Cyprus,Nikosia
Hungary,Budapest
Montenegro,Podgorica
